method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.03999999999999998,0.0005219064769335091,3.6679033655673265e-05,0.00048522744327783585,0.979003369808197,0.0036559493746608496,0.9706301093101501,0.986944854259491,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.04999999999999999,0.0006065506022423506,5.012320980313234e-05,0.0005564274033531547,0.9788529276847839,0.0036888595204800367,0.9705322980880737,0.9868990182876587,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.06,0.0007110770675353706,6.648428097832948e-05,0.0006445928011089563,0.9786688685417175,0.003749148454517126,0.9704128503799438,0.986843466758728,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.07,0.0008351627620868385,8.583318413002416e-05,0.0007493295706808567,0.9784517884254456,0.003847309621050954,0.9702719449996948,0.986778199672699,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.08000000000000002,0.0009791975608095527,0.00010825403296621516,0.0008709435351192951,0.9782014489173889,0.003993707709014416,0.9700700044631958,0.9867032766342163,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.08999999999999997,0.0011434877524152398,0.00013384355406742543,0.00100964424200356,0.9779188632965088,0.004197561182081699,0.9691981673240662,0.9866188168525696,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.09999999999999998,0.001328256563283503,0.00016271047934424132,0.0011655461275950074,0.9776038527488708,0.004465920850634575,0.9682269096374512,0.9865254163742065,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.10999999999999999,0.0015334665076807141,0.0001949762663571164,0.0013384902849793434,0.9772571921348572,0.004803055431693792,0.9671576619148254,0.986422598361969,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.12,0.0017597931437194347,0.00023077282821759582,0.001529020257294178,0.9768791198730469,0.005210707895457745,0.9659916758537292,0.986310601234436,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,0.13,0.0020074734929949045,0.00027024338487535715,0.0017372301081195474,0.976470410823822,0.005688417237251997,0.964097261428833,0.9861904978752136,0.000816029089037329,43.320770263671875
